"easting","northing"
427655.392764578,4512052.34049913
428053.620049592,4512243.42683527
428025.357363306,4512260.06573236
427737.531332318,4512280.45677873
427809.698798222,4512099.56188467
428238.560174936,4512356.3525506
428222.63254952,4511839.50939043
428400.072665691,4511731.3415984
428567.301694344,4511913.98969804
427763.775974642,4511975.95058419
427647.492402966,4512038.50945359
427725.682141701,4511760.78194602
428014.419426001,4512167.272656
427812.281727973,4511913.81056006
428041.634648469,4512055.34366147
427951.6785802,4512043.45990197
427772.962717515,4511989.05301531
427989.81422238,4512134.96314335
427976.938858627,4512043.09362111
427656.444745493,4511868.96959217
428033.135042361,4512084.50073841
428027.953986119,4511978.64182584
427710.535495936,4512143.60251432
428153.61144722,4512002.39860563
427860.909629185,4512277.22929395
428082.631307502,4511889.38966873
427774.875670351,4512097.11242204
428284.839364583,4512374.18358717
428142.540766516,4512168.29876911
428612.89950516,4512330.63786757
428103.766081498,4512159.50048066
428495.859259603,4512239.69961488
428099.361437554,4512282.63545732
427825.956938252,4512022.58450955
428176.660637425,4511922.86235071
427827.966401695,4511830.35893205
427538.742496138,4512284.41243774
428075.870050619,4512153.64521242
427832.593987184,4512390.27356819
427702.308139042,4512002.5420341
428194.732888189,4512229.18030332
427939.405937349,4512231.3855059
428235.876450472,4512140.58987824
428285.847837924,4512175.72178062
427926.786024586,4512224.896053
428090.470424384,4511991.81997286
428140.174969689,4511809.22089346
427782.64750896,4512131.06425127
428214.342849515,4512385.28120424
427968.444368333,4511840.8598571
428223.334639276,4512025.15069829
428037.245229197,4512222.64223988
427966.517468692,4512062.44778573
428099.8062409,4511905.20268758
427735.48454274,4511907.39438813
427960.135282582,4511828.31129858
427863.163002604,4512199.41190302
427729.823440296,4511916.19700388
428020.800332446,4512080.3093149
428327.766002285,4511897.60663029
428416.741947127,4511961.97687969
428012.638418929,4512137.99604896
428208.705358682,4512081.31270917
428445.929229012,4511510.0736317
428150.271654656,4512349.22836074
428060.478099155,4512082.72661679
428290.622926487,4512070.86171916
427962.243266529,4512063.79630844
428356.105802449,4512384.96504911
428133.682273291,4512064.76577794
428204.582406832,4512036.48406945
427746.615084856,4512108.25355185
428022.306427834,4512084.76816318
427952.263047065,4512153.14325306
427956.300729172,4512078.06812015
427860.982364665,4512140.28658871
428456.79223274,4512209.28023581
427696.232787206,4512256.31785003
428182.063768539,4512394.32879147
428380.168562125,4512248.09458535
427777.117742235,4512182.50861279
427904.389349701,4512016.67722111
428118.599329882,4511974.9292217
428164.781133326,4512299.72814747
427845.365345097,4511897.70031499
427793.069056447,4512098.56830116
428253.529857045,4512206.59218118
428397.428242236,4512146.31388992
428039.433215652,4511912.55141914
428146.129001321,4512028.77132994
428247.123528216,4511997.00406845
428406.900601082,4512181.41537046
428245.022963059,4512175.70529373
427899.117494829,4511958.47390608
428062.060291257,4512085.84359238
427678.867069743,4512112.64373019
428309.373480683,4512019.14603448
428142.328067981,4512087.18070736
428609.548874678,4512230.01218153
427841.887979173,4512042.90618399
427936.177537222,4512147.23064345
428289.451388979,4512124.91931798
427637.766309248,4512183.69040703
428092.244587349,4511991.38709404
427948.425617587,4511615.90816912
428126.31998541,4511861.04393586
428013.94432383,4512255.77189715
427609.032968616,4512213.96411473
428011.985116096,4512158.85994681
428203.180940436,4512073.21072249
428247.870020923,4512004.65272562
427935.618849792,4512268.24256405
428143.675141033,4512205.19333244
428654.34386391,4511945.37452772
427801.052432532,4512084.9428992
428463.255937645,4512242.46096804
427974.096731237,4512113.88229589
428390.763860345,4511820.66174058
427638.300456012,4512115.96976154
427962.302513565,4512249.04249846
427755.390271433,4512097.67012501
428093.248192309,4511856.16274034
428119.485010045,4512102.78359461
427431.678021052,4511930.48204445
428145.642968042,4512194.41163134
427966.395716362,4511675.23898115
428277.852987024,4512200.39193788
427951.914203014,4512022.62692527
428173.460435325,4511997.56081227
427834.621550178,4512140.27908027
428103.114355315,4511788.22468848
427646.167584866,4512168.74617633
428452.30124445,4512207.65483716
427507.842648272,4511882.00994808
428031.668943567,4512041.73374873
428315.976105453,4512118.34829236
428199.20659104,4512134.25244142
427735.954389656,4512064.17883017
428427.132613531,4512073.1110495
428287.628458116,4512193.28245847
428219.034921925,4512158.8252948
428073.555396749,4511975.47004299
427973.032302342,4512040.58774398
427880.271417027,4512243.50410453
428121.123735447,4512118.93014817
428349.612728199,4512119.07578579
428153.845249408,4512041.99832165
427854.32668563,4511838.93799441
428300.724111226,4512067.06169215
428012.213370618,4512092.28374644
427805.167459287,4512031.35614044
428201.686732957,4512252.14755726
427957.29426719,4512024.21664714
427842.441980623,4511927.52847505
427941.075736356,4511924.07860526
428103.109633118,4512301.84366795
428034.700116744,4511895.50386017
428295.90330248,4512255.12969283
428484.512902642,4511865.08342024
428002.201650333,4511983.88655923
427685.194547193,4512137.15655265
427566.639369632,4512227.70787608
428014.139740591,4512104.48588519
428539.399620997,4512287.3296035
428098.016213683,4512264.40734537
428022.295359741,4511942.32210606
427925.889974537,4512244.95388014
427974.494298708,4511976.28523296
428404.180156086,4512153.20143438
428033.560573147,4512135.96217179
428182.078086095,4512072.87888018
427974.048235029,4511883.72216298
427879.985830682,4511903.92526903
427909.277746668,4512100.42275723
428082.143026048,4512078.46805662
428291.027297115,4512055.31450805
428133.046687202,4511998.09644715
427601.145239616,4512228.27240039
428325.113970448,4511890.62607691
427918.722437505,4511931.13247246
428410.998705746,4512054.74958516
428199.863295703,4511978.25302739
428093.418201898,4511907.13400377
428315.712964569,4511974.51289129
427874.348925239,4512050.57417342
428440.773856969,4512250.58318904
427818.662720572,4512157.56111615
427700.974384356,4511877.3549116
428206.504280712,4512023.78107588
428040.77535271,4512122.95846307
428142.870459011,4511951.97730812
428203.194287479,4512116.44464085
428481.232064227,4512108.22419908
427926.543944465,4511925.0164809
428079.229166003,4512178.55259342
427952.04518645,4512177.69107473
428106.240967571,4512145.67051527
428173.35545129,4511980.86911843
428068.509343049,4511950.83037544
427985.254466706,4512074.70383808
427974.152864684,4511870.33112926
428099.977412301,4511872.91488967
428617.878806552,4511922.44265612
428303.26701049,4512025.90377834
427966.996350485,4511878.40131465
428279.352683931,4512037.87462618
428257.428190834,4511993.63122878
428417.70797059,4512056.97156818
428349.149235757,4512338.26678553
428012.935639952,4512141.78993046
428036.995954896,4512048.98786893
427849.866515967,4512036.1239656
428143.174598819,4511971.86771731
427735.280813263,4512231.68422871
427809.816112048,4511838.26660693
427714.475854391,4511882.71850536
428166.745417381,4512068.34533325
428183.202856066,4512101.16592902
428427.618877319,4512125.47973564
428432.066272817,4512133.34420711
427896.715030665,4512130.58216818
428276.95002793,4511982.44481097
427934.072161121,4512341.47108003
427800.83364827,4511871.40561943
427832.508889307,4512005.2333533
427737.564599112,4512097.35376177
427988.441165754,4512215.87705033
428382.536258706,4512051.98915024
427874.617666171,4512217.18955116
428058.53612688,4512182.30105989
428195.856547323,4512112.66388835
427813.442092239,4512025.3598695
428132.965785074,4512329.74144607
428095.169041861,4512015.77694811
428308.17441302,4512229.34501953
428018.475477329,4512206.48251928
427955.073243259,4512252.12970768
427836.715721892,4512262.08024059
427792.838712805,4512055.02386283
428063.615385386,4512013.51326212
428362.418892783,4512134.46752681
428050.087792864,4512097.10513595
427969.639024632,4512025.19234587
428164.036631876,4512170.76539039
427620.390495362,4512160.71396588
427807.870679824,4512207.79833193
427752.789078242,4512049.33945897
428356.660383117,4512293.40156995
427840.333164365,4511974.51633012
427510.261820469,4512259.54378951
428385.575454336,4512148.11598678
427618.764364243,4512254.63085819
428483.444809402,4511948.53297713
428386.301725987,4512193.75158874
427844.260535968,4512146.20484018
428247.623159543,4512111.1932932
428484.394541558,4511926.1656397
427998.721082421,4512186.7416818
427870.718012688,4512365.84468174
428148.929517917,4512140.1883912
