id,City for Azimuth,location,hive,camera,month,day,year,hour,minute,hour,min,segment,dance found?,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,azimuth,heading.degrees,heading.radians,flag
12,"London, OH",FSR,1,,,27,2016,,,13,35,Camera1_062716_13.35_for_60sec,,,2,2,4,8,1698.667,1753.333,1727.833,16.165,828.667,948.667,878.833,43.222,0.801,1.869,1.351,0.529,53,89,74.75,10.593,64.346,96.231,78.251,14.421,0,96.231,39.125,42.879,NA,NA,NA,NA,64.346,96.231,78.251,14.421,34.437,120.169,69.41,40.254,-86.028,117.553,17.345,104.238,NA,NA,NA,NA,,3.972,207.553,107.345,178.4,285.745,4.987191071,1
13,"London, OH",FSR,1,,,27,2016,,,13,35,Camera1_062716_13.35_for_60sec,,,3,3,4,8,1514.167,1606.167,1558.354,31.523,486.5,643,563.646,59.221,1.001,2.336,1.602,0.561,75,93,79,5.88,50.495,60.402,56.596,4.706,0,60.402,28.298,30.408,NA,NA,NA,NA,50.495,60.402,56.596,4.706,25.775,50.445,37.969,10.159,-162.769,132.325,55.155,145.326,NA,NA,NA,NA,,287.231,222.325,145.155,178.4,323.555,5.647100061,1
14,"London, OH",FSR,1,,,27,2016,,,13,40,Camera1_062716_13.40_for_60sec,,,1,1,4,8,960,1186.667,1071.5,72.418,832,880,858,15.936,1.101,1.835,1.368,0.322,63,134,95.125,20.266,44.721,58.439,49.634,6.069,0,58.439,24.817,26.826,NA,NA,NA,NA,44.721,58.439,49.634,6.069,26.417,47.336,37.677,9.223,116.565,165.174,145.771,20.712,NA,NA,NA,NA,,206.565,255.174,235.771,182.4,58.171,1.015275479,1
15,"London, OH",FSR,1,,,27,2016,,,13,40,Camera1_062716_13.40_for_60sec,,,2,2,4,8,1617.333,1692,1661.5,31.378,700,749.333,720.5,17.252,1.268,1.869,1.451,0.281,55,75,63.25,7.305,52.154,84.706,64.341,14.312,0,84.706,32.17,35.645,NA,NA,NA,NA,52.154,84.706,64.341,14.312,38.123,49.87,44.334,4.842,-32.471,-24.775,-27.592,3.61,NA,NA,NA,NA,,57.529,65.225,62.408,182.4,244.808,4.272705635,1
16,"London, OH",FSR,1,,,27,2016,,,13,40,Camera1_062716_13.40_for_60sec,,,3,3,4,8,1237,1320,1291.5,31.392,658,735,701.875,30.87,0.734,1.602,1.235,0.367,75,118,102,13.158,38.328,71.421,62.037,15.862,0,71.421,31.018,34.748,NA,NA,NA,NA,38.328,71.421,62.037,15.862,31.045,97.295,55.559,29.037,-44.433,116.2,60.017,71.266,NA,NA,NA,NA,,45.567,206.2,150.017,182.4,332.417,5.80177114,1
17,"London, OH",FSR,1,,,27,2016,,,13,45,Camera1_062716_13.45_for_60sec,,,1,1,4,8,1488,1682,1566.5,75.742,364,695,501.375,121.018,0.868,2.069,1.243,0.555,63,96,77.25,10.977,33.242,70.605,54.182,16.392,0,70.605,27.091,30.886,NA,NA,NA,NA,33.242,70.605,54.182,16.392,24.082,68.259,48.415,20.821,-100.408,105.709,16.248,93.299,NA,NA,NA,NA,,349.592,195.709,106.248,186.4,292.648,5.107671149,1
18,"London, OH",FSR,1,,,27,2016,,,13,45,Camera1_062716_13.45_for_60sec,,,2,2,4,8,1066,1272,1147.5,63.92,638,767,710.625,47.479,1.735,3.337,2.202,0.767,81,171,114.75,29.606,58.009,207.171,104.005,69.39,0,207.171,52.003,71.792,NA,NA,NA,NA,58.009,207.171,104.005,69.39,33.433,62.089,44.068,12.453,-173.904,179.012,-40.788,153.456,NA,NA,NA,NA,,276.096,269.012,49.212,186.4,235.612,4.112205157,1
19,"London, OH",FSR,1,,,27,2016,,,13,45,Camera1_062716_13.45_for_60sec,,,3,3,4,8,810.5,1025.833,901.917,80.32,669.833,799.833,731,42.296,0.667,2.069,1.285,0.596,73,153,113.625,29.909,48.899,78.122,65.856,12.254,0,78.122,32.928,36.104,NA,NA,NA,NA,48.899,78.122,65.856,12.254,35.744,100.919,60.297,30.564,-88.866,117.44,19.97,104.508,NA,NA,NA,NA,,1.134,207.44,109.97,186.4,296.37,5.172632304,1
20,"London, OH",FSR,1,,,27,2016,,,13,50,Camera1_062716_13.50_for_60sec,,,1,1,4,8,1047.167,1145.167,1092.667,29.006,754.167,816.167,789.833,26.934,1.2,2.13,1.815,0.422,83,119,101.375,15.099,44.427,70.711,58.478,10.937,0,70.711,29.239,32.067,NA,NA,NA,NA,44.427,70.711,58.478,10.937,23.506,51.364,34.019,12.223,115.796,128.853,121.863,5.781,NA,NA,NA,NA,,205.796,218.853,211.863,190.4,42.263,0.7376285018,1
21,"London, OH",FSR,1,,,27,2016,,,13,55,Camera1_062716_13.55_for_60sec,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.3,,,
22,"London, OH",FSR,1,,,27,2016,,,14,0,Camera1_062716_14.00_for_60sec,,,1,1,4,8,1334.833,1388.167,1364.083,21.45,768.5,798.5,785.167,10.029,0.734,0.868,0.817,0.064,70,100,85,10.1,30.185,53.537,38.978,10.592,0,53.537,19.489,21.958,NA,NA,NA,NA,30.185,53.537,38.978,10.592,37.693,61.712,47.341,10.22,166.827,174.999,171.231,3.773,NA,NA,NA,NA,,256.827,264.999,261.231,198,99.231,1.73190767,1
23,"London, OH",FSR,1,,,27,2016,,,14,0,Camera1_062716_14.00_for_60sec,,,2,2,4,8,1389.5,1461.5,1430.417,26.159,681.167,837.167,745,51.77,1.268,2.135,1.668,0.357,61,100,80.125,12.955,51.648,80.069,64.633,12.04,0,80.069,32.316,35.435,NA,NA,NA,NA,51.648,80.069,64.633,12.04,37.384,40.734,38.934,1.744,113.587,135,126.401,9.095,NA,NA,NA,NA,,203.587,225,216.401,198,54.401,0.9494765664,1
24,"London, OH",FSR,1,,,27,2016,,,14,5,Camera1_062716_14.05_for_60sec,,,1,1,4,8,1142,1245,1176.25,38.983,552,626,593,23.543,1.068,1.268,1.168,0.086,77,126,92.875,15.905,34.785,56.365,44.567,8.927,0,56.365,22.284,24.529,NA,NA,NA,NA,34.785,56.365,44.567,8.927,32.578,44.454,37.91,4.901,108.435,154.799,131.673,18.933,NA,NA,NA,NA,,198.435,244.799,221.673,201.7,63.373,1.106067507,1
25,"London, OH",FSR,1,,,27,2016,,,14,5,Camera1_062716_14.05_for_60sec,,,2,2,4,8,930,1530,1360,259.722,739,927,816.5,67.197,1.068,1.235,1.143,0.088,68,112,83.875,15.431,40.804,54.231,47.891,5.593,0,54.231,23.945,25.859,NA,NA,NA,NA,40.804,54.231,47.891,5.593,38.079,46.376,41.955,4.425,112.782,136.637,123.684,10.188,NA,NA,NA,NA,,202.782,226.637,213.684,201.7,55.384,0.9666331529,1
