id,City for Azimuth,location,hive,camera,month,day,year,hour,minute,hour,min,segment,dance found?,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,azimuth,heading.degrees,heading.radians,flag
,,FSR,1,,,23,2016,,,13,14,Camera1_072316_13.14_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.3,162.3,2.832669376,1
,,FSR,1,,,23,2016,,,13,19,Camera1_072316_13.19_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.6,165.6,2.890265241,1
,,FSR,1,,,23,2016,,,13,24,Camera1_072316_13.24_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.9,168.9,2.947861107,1
,,FSR,1,,,23,2016,,,13,29,Camera1_072316_13.29_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.3,172.3,3.007202301,1
,,FSR,1,,,23,2016,,,13,34,Camera1_072316_13.34_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.7,175.7,3.066543496,1
,,FSR,1,,,23,2016,,,13,39,Camera1_072316_13.39_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.1,179.1,3.12588469,1
,,FSR,1,,,23,2016,,,13,44,Camera1_072316_13.44_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.6,182.6,3.186971214,1
,,FSR,2,,,,2016,,,,,Camera2,,,1,1,4,8,1390,1424.167,1409.104,14.211,552.833,676.833,615.229,43.516,3.003,3.337,3.12,0.148,58,152,100,28.208,64.911,83.934,74.827,9.963,0,83.934,37.413,40.525,NA,NA,NA,NA,64.911,83.934,74.827,9.963,19.454,27.95,24.105,4.044,67.188,77.471,71.174,4.617,NA,NA,NA,NA,,,,,,0,0,
,,FSR,2,,,14,2016,,,10,59,Camera2_071416_10.59_for_60sec,,,1,1,4,8,1514.667,1617.333,1560.667,33.829,692,768,723.333,30.421,1.201,2.936,1.935,0.727,57,95,69,15.203,51.225,82.289,62.819,13.531,0,82.289,31.41,34.727,NA,NA,NA,NA,51.225,82.289,62.819,13.531,28.025,42.645,34.045,6.378,49.6,72.408,60.328,11.548,NA,NA,NA,NA,,,,,106.2,106.2,1.853539666,1
,,FSR,2,,,14,2016,,,10,59,Camera2_071416_10.59_for_60sec,,,2,2,4,8,1526,1553,1539.75,11.769,781,845,808.875,23.062,0.734,1.768,1.126,0.475,59,91,67,10.677,22.023,34,28.525,5.427,0,34,14.262,15.656,NA,NA,NA,NA,22.023,34,28.525,5.427,14.843,43.358,29.748,15.267,-17.745,61.928,22.628,36.609,NA,NA,NA,NA,,,,,106.2,106.2,1.853539666,1
,,FSR,2,,,14,2016,,,11,4,Camera2_071416_11.04_for_60sec,,,1,1,4,8,1559,1599,1579.375,13.081,672,757,713.75,36.362,1.335,2.202,1.718,0.363,52,98,74.375,18.477,46.648,81.302,66.16,17.384,0,81.302,33.08,37.15,NA,NA,NA,NA,46.648,81.302,66.16,17.384,34.951,46.295,38.339,5.376,59.036,85.061,70.002,11.185,NA,NA,NA,NA,,,,,107.3,107.3,1.872738287,1
,,FSR,2,,,14,2016,,,11,4,Camera2_071416_11.04_for_60sec,,,2,2,4,8,1015,1100,1073,33.95,808,885,843.375,31.286,2.269,2.803,2.603,0.231,55,85,68.875,10.736,56.886,59.615,57.967,1.2,0,59.615,28.983,30.995,NA,NA,NA,NA,56.886,59.615,57.967,1.2,20.296,25.261,22.409,2.085,67.306,96.009,80.567,11.79,NA,NA,NA,NA,,,,,107.3,107.3,1.872738287,1
,,FSR,2,,,14,2016,,,11,4,Camera2_071416_11.04_for_60sec,,,3,3,4,8,1575,1664,1627,30.697,543,667,615.5,41.569,2.569,3.704,3.07,0.473,67,100,87.125,11.934,53.235,80.777,67.824,11.394,0,80.777,33.912,37.013,NA,NA,NA,NA,53.235,80.777,67.824,11.394,18.13,26.314,22.366,4.376,69.254,84.611,76.45,6.351,NA,NA,NA,NA,,,,,107.3,107.3,1.872738287,1
,,FSR,2,,,14,2016,,,11,9,Camera2_071416_11.09_for_60sec,,,1,1,4,8,392,433.333,411.167,12.24,772,848,806.667,30.001,2.102,2.97,2.411,0.383,64,105,83.625,14.03,49.351,65.997,55.316,7.476,0,65.997,27.658,29.97,NA,NA,NA,NA,49.351,65.997,55.316,7.476,22.197,24.158,23.014,0.969,71.565,105.124,87.527,14.29,NA,NA,NA,NA,,,,,108.5,108.5,1.893682238,1
,,FSR,2,,,14,2016,,,11,9,Camera2_071416_11.09_for_60sec,,,2,2,4,8,1373,1524,1456.75,52.698,674,889,811,74.249,2.135,3.003,2.452,0.383,50,71,59.375,6.653,66.4,104.69,85.977,16.568,0,104.69,42.989,47.219,NA,NA,NA,NA,66.4,104.69,85.977,16.568,31.094,38.756,34.961,3.13,-65.913,-19.799,-42.326,19.231,NA,NA,NA,NA,,,,,108.5,108.5,1.893682238,1
,,FSR,2,,,14,2016,,,11,14,Camera2_071416_11.14_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.7,109.7,1.914626189,1
,,FSR,2,,,14,2016,,,11,19,Camera2_071416_11.19_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,111,1.93731547,1
,,FSR,2,,,14,2016,,,11,24,Camera2_071416_11.24_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.3,112.3,1.96000475,1
,,FSR,2,,,14,2016,,,11,29,Camera2_071416_11.29_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.7,113.7,1.98443936,1
,,FSR,2,,,14,2016,,,11,34,Camera2_071416_11.34_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.1,115.1,2.008873969,1
,,FSR,2,,,14,2016,,,11,39,Camera2_071416_11.39_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.6,116.6,2.035053908,1
,,FSR,2,,,14,2016,,,11,44,Camera2_071416_11.44_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.1,118.1,2.061233847,1
,,FSR,2,,,14,2016,,,11,49,Camera2_071416_11.49_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.7,119.7,2.089159115,1
,,FSR,2,,,14,2016,,,11,54,Camera2_071416_11.54_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.4,121.4,2.118829712,1
,,FSR,2,,,14,2016,,,11,59,Camera2_071416_11.59_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.1,123.1,2.148500309,1
,,FSR,2,,,14,2016,,,12,4,Camera2_071416_12.04_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.9,124.9,2.179916236,1
,,FSR,2,,,14,2016,,,12,9,Camera2_071416_12.09_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.8,126.8,2.213077492,1
,,FSR,2,,,14,2016,,,12,14,Camera2_071416_12.14_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.8,128.8,2.247984077,1
,,FSR,2,,,19,2016,,,10,52,Camera2_071916_10.52_for_60sec,,,1,1,4,8,1390,1424.167,1409.104,14.211,552.833,676.833,615.229,43.516,3.003,3.337,3.12,0.148,58,152,100,28.208,64.911,83.934,74.827,9.963,0,83.934,37.413,40.525,NA,NA,NA,NA,64.911,83.934,74.827,9.963,19.454,27.95,24.105,4.044,67.188,77.471,71.174,4.617,NA,NA,NA,NA,,,,,105.6,105.6,1.84306769,1
,,FSR,2,,,19,2016,,,10,57,Camera2_071916_10.57_for_60sec,,,1,1,4,8,1219,1245,1234.125,9.862,820,898,856.875,30.385,2.97,3.27,3.128,0.135,59,131,85,22.978,44.553,59.682,52.877,6.532,0,59.682,26.439,28.586,NA,NA,NA,NA,44.553,59.682,52.877,6.532,14.514,18.632,16.884,1.72,69.444,91.023,80.689,8.827,NA,NA,NA,NA,,,,,106.7,106.7,1.862266312,1
,,FSR,2,,,19,2016,,,10,57,Camera2_071916_10.57_for_60sec,,,2,2,4,8,1542,1732,1637.875,62.77,402,645,534.5,89.03,2.503,3.77,3.145,0.519,74,136,108.25,18.798,68.066,90.022,79.375,11.154,0,90.022,39.688,43.052,NA,NA,NA,NA,68.066,90.022,79.375,11.154,22.349,28.302,25.432,2.786,-1.273,12.095,5.3,5.876,NA,NA,NA,NA,,,,,106.7,106.7,1.862266312,1
,,FSR,2,,,19,2016,,,11,2,Camera2_071916_11.02_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.8,107.8,1.881464934,1
,,FSR,2,,,19,2016,,,11,7,Camera2_071916_11.07_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,109,1.902408885,1
,,FSR,2,,,19,2016,,,11,12,Camera2_071916_11.12_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2,110.2,1.923352836,1
,,FSR,2,,,19,2016,,,11,17,Camera2_071916_11.17_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5,111.5,1.946042116,1
,,FSR,2,,,19,2016,,,11,22,Camera2_071916_11.22_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.8,112.8,1.968731396,1
,,FSR,2,,,19,2016,,,11,27,Camera2_071916_11.27_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.2,114.2,1.993166006,1
,,FSR,2,,,19,2016,,,11,32,Camera2_071916_11.32_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.6,115.6,2.017600615,1
,,FSR,2,,,19,2016,,,11,37,Camera2_071916_11.37_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,117,2.042035225,1
,,FSR,2,,,19,2016,,,11,42,Camera2_071916_11.42_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.6,118.6,2.069960493,1
,,FSR,2,,,19,2016,,,11,47,Camera2_071916_11.47_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1,120.1,2.096140432,1
,,FSR,2,,,19,2016,,,11,52,Camera2_071916_11.52_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.8,121.8,2.125811029,1
,,FSR,2,,,19,2016,,,11,57,Camera2_071916_11.57_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.5,123.5,2.155481626,1
,,FSR,2,,,19,2016,,,12,2,Camera2_071916_12.02_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.3,125.3,2.186897553,1
,,FSR,2,,,23,2016,,,12,16,Camera2_072316_12.16_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.7,131.7,2.298598625,1
,,FSR,2,,,23,2016,,,12,21,Camera2_072316_12.21_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.8,133.8,2.335250539,1
,,FSR,2,,,23,2016,,,12,26,Camera2_072316_12.26_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,136,2.373647783,1
,,FSR,2,,,23,2016,,,12,31,Camera2_072316_12.31_for_60sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.3,138.3,2.413790356,1
,,FSR,2,,,23,2016,,,12,36,Camera2_072316_12.36_for_60sec,,,1,1,4,8,1274.667,1316,1299.167,15.662,394.667,496,439.167,38.034,0,0,0,0,83,126,100.75,13.221,55.458,85.271,69.619,12.334,0,85.271,34.809,38.079,NA,NA,NA,NA,55.458,85.271,69.619,12.334,NA,NA,NA,NA,-90,-66.801,-79.302,9.528,NA,NA,NA,NA,,,,,140.7,140.7,2.455678258,1
,,FSR,2,,,23,2016,,,12,36,Camera2_072316_12.36_for_60sec,,,2,2,4,8,1508,1645.333,1573,48.963,245.333,308,275.667,23.667,0,0,0,0,107,161,131,19.049,39.576,87.818,60.269,20.209,0,87.818,30.135,34.826,NA,NA,NA,NA,39.576,87.818,60.269,20.209,NA,NA,NA,NA,-52.001,-30.069,-37.184,10.014,NA,NA,NA,NA,,,,,140.7,140.7,2.455678258,1
,,FSR,2,,,23,2016,,,12,36,Camera2_072316_12.36_for_60sec,,,3,3,4,8,1424,1501.333,1466.167,29.728,362.667,452,403.833,29.163,0,0,0,0,85,120,102,10.954,42.353,69.346,56.925,12.293,0,69.346,28.462,31.474,NA,NA,NA,NA,42.353,69.346,56.925,12.293,NA,NA,NA,NA,-37.972,-21.251,-29.286,6.866,NA,NA,NA,NA,,,,,140.7,140.7,2.455678258,1
,,FSR,2,,,23,2016,,,12,36,Camera2_072316_12.36_for_60sec,,,4,4,4,8,1260,1324,1302.5,22.133,809.333,916,864.167,39.305,0,0,0,0,68,105,86,13.158,31.693,78.937,55.858,19.713,0,78.937,27.929,32.527,NA,NA,NA,NA,31.693,78.937,55.858,19.713,NA,NA,NA,NA,73.443,104.621,85.596,14.789,NA,NA,NA,NA,,,,,140.7,140.7,2.455678258,1
,,FSR,2,,,23,2016,,,12,36,Camera2_072316_12.36_for_60sec,,,5,5,4,8,1209.333,1286,1251,26.75,698.667,865.333,761.333,60.42,0,0,0,0,63,100,78,12.984,24.037,51.88,39.117,11.448,0,51.88,19.559,22.212,NA,NA,NA,NA,24.037,51.88,39.117,11.448,NA,NA,NA,NA,64.093,143.13,104.031,32.526,NA,NA,NA,NA,,,,,140.7,140.7,2.455678258,1
,,FSR,2,,,23,2016,,,12,41,Camera2_072316_12.41_for_60sec,,,1,1,4,8,572,617.333,596.833,16.125,282.667,330.667,308.5,16.313,0,0,0,0,66,111,94.375,13.016,17.385,48.314,29.915,15.014,0,48.314,14.958,18.77,NA,NA,NA,NA,17.385,48.314,29.915,15.014,NA,NA,NA,NA,-48.013,-4.399,-32.701,19.321,NA,NA,NA,NA,,,,,143.2,143.2,2.499311489,1
,,FSR,2,,,23,2016,,,12,41,Camera2_072316_12.41_for_60sec,,,2,2,4,8,1234.667,1342.667,1291.5,35.634,276,369.333,318.5,31.045,0,0,0,0,78,108,95.75,10.607,40.552,103.494,70.04,27.74,0,103.494,35.02,41.61,NA,NA,NA,NA,40.552,103.494,70.04,27.74,NA,NA,NA,NA,30.256,70.665,50.428,19.27,NA,NA,NA,NA,,,,,143.2,143.2,2.499311489,1
,,FSR,2,,,23,2016,,,12,41,Camera2_072316_12.41_for_60sec,,,3,3,4,8,993.333,1016,1004.833,7.838,376,456,424.167,26.432,0,0,0,0,51,107,79.125,16.583,31.127,43.98,36.443,5.95,0,43.98,18.222,19.865,NA,NA,NA,NA,31.127,43.98,36.443,5.95,NA,NA,NA,NA,51.71,110.323,84.466,26.147,NA,NA,NA,NA,,,,,143.2,143.2,2.499311489,1
,,FSR,2,,,23,2016,,,12,41,Camera2_072316_12.41_for_60sec,,,4,4,4,8,1330.667,1390.667,1364.333,21.342,708,817.333,770,37.55,0,0,0,0,69,98,84.5,10.014,54.144,76.745,63.105,10.328,0,76.745,31.552,34.402,NA,NA,NA,NA,54.144,76.745,63.105,10.328,NA,NA,NA,NA,73.413,94.086,82.396,8.62,NA,NA,NA,NA,,,,,143.2,143.2,2.499311489,1
,,FSR,2,,,23,2016,,,12,46,Camera2_072316_12.46_for_60sec,,,1,1,4,8,516,541.333,529.333,10.154,492,585.333,542,30.145,0,0,0,0,85,131,103.5,13.784,33.652,57.442,41.735,10.748,0,57.442,20.867,23.392,NA,NA,NA,NA,33.652,57.442,41.735,10.748,NA,NA,NA,NA,-72.897,-56.31,-63.697,8.152,NA,NA,NA,NA,,,,,145.8,145.8,2.544690049,1
,,FSR,2,,,23,2016,,,12,46,Camera2_072316_12.46_for_60sec,,,2,2,4,8,1127.333,1160.667,1144.333,11.42,493.333,557.333,523.167,29.054,0,0,0,0,68,104,83.625,12.558,47.253,62.425,55.767,7.679,0,62.425,27.884,30.23,NA,NA,NA,NA,47.253,62.425,55.767,7.679,NA,NA,NA,NA,98.973,109.983,105.069,4.585,NA,NA,NA,NA,,,,,145.8,145.8,2.544690049,1
,,FSR,2,,,23,2016,,,12,46,Camera2_072316_12.46_for_60sec,,,3,3,4,8,1330.667,1381.333,1358.833,17.565,626,700.667,667,28.736,0,0,0,0,58,145,102.75,30.705,15.606,33.012,25.88,7.542,0,33.012,12.94,14.688,NA,NA,NA,NA,15.606,33.012,25.88,7.542,NA,NA,NA,NA,-136.637,-108.435,-120.223,13.475,NA,NA,NA,NA,,,,,145.8,145.8,2.544690049,1
,,FSR,2,,,23,2016,,,12,46,Camera2_072316_12.46_for_60sec,,,4,4,4,8,1201.333,1337.333,1292.5,53.93,460.667,547.333,505.5,30.885,0,0,0,0,78,131,101.375,19.537,45.412,52.154,49.13,2.975,0,52.154,24.565,26.333,NA,NA,NA,NA,45.412,52.154,49.13,2.975,NA,NA,NA,NA,-93.366,-66.801,-80.337,11.595,NA,NA,NA,NA,,,,,145.8,145.8,2.544690049,1
,,FSR,2,,,23,2016,,,12,51,Camera2_072316_12.51_for_60sec,,,1,1,4,8,1136.667,1224.667,1182,38.834,294.667,377.333,338.167,26.446,0,0,0,0,83,173,117.875,26.21,24.331,51.103,35.43,12.38,0,51.103,17.715,20.599,NA,NA,NA,NA,24.331,51.103,35.43,12.38,NA,NA,NA,NA,-101.689,-82.504,-94.842,8.587,NA,NA,NA,NA,,,,,148.6,148.6,2.593559268,1
,,FSR,2,,,23,2016,,,12,51,Camera2_072316_12.51_for_60sec,,,2,2,5,10,764.667,834,799.333,21.773,326.667,474.667,372.533,48.214,0,0,0,0,79,118,95.5,14.416,31.241,41.398,38.447,4.148,0,41.398,19.223,20.451,NA,NA,NA,NA,31.241,41.398,38.447,4.148,NA,NA,NA,NA,-93.945,-14.931,-51.491,29.093,NA,NA,NA,NA,,,,,148.6,148.6,2.593559268,1
,,FSR,2,,,23,2016,,,12,56,Camera2_072316_12.56_for_60sec,,,1,1,4,8,748,844,801.167,34.516,160,385.333,227,82.287,0,0,0,0,81,145,99.75,22.404,16.275,63.736,43.026,19.713,0,63.736,21.513,26.372,NA,NA,NA,NA,16.275,63.736,43.026,19.713,NA,NA,NA,NA,-74.219,-49.574,-58.068,11.008,NA,NA,NA,NA,,,,,151.4,151.4,2.642428488,1
,,FSR,2,,,23,2016,,,12,56,Camera2_072316_12.56_for_60sec,,,2,2,4,8,1199.333,1272.667,1243,28.237,618.667,716,667.167,32.93,0,0,0,0,87,161,114.75,26.408,26.7,52.747,40.733,11.92,0,52.747,20.367,23.129,NA,NA,NA,NA,26.7,52.747,40.733,11.92,NA,NA,NA,NA,-87.138,-73.856,-78.922,5.898,NA,NA,NA,NA,,,,,151.4,151.4,2.642428488,1
,,FSR,2,,,23,2016,,,12,56,Camera2_072316_12.56_for_60sec,,,3,3,4,8,1520,1596,1552.833,31.729,426.667,461.333,447.167,12.628,0,0,0,0,52,129,104.75,24.318,47.291,73.442,60.469,10.749,0,73.442,30.234,33.079,NA,NA,NA,NA,47.291,73.442,60.469,10.749,NA,NA,NA,NA,-25.408,-14.931,-19.411,4.947,NA,NA,NA,NA,,,,,151.4,151.4,2.642428488,1
,,FSR,2,,,23,2016,,,12,56,Camera2_072316_12.56_for_60sec,,,4,4,4,8,1404,1514.667,1463,35.16,288,368,327.667,23.354,0,0,0,0,83,124,103.875,15.788,29.605,48.074,34.512,9.048,0,48.074,17.256,19.375,NA,NA,NA,NA,29.605,48.074,34.512,9.048,NA,NA,NA,NA,-56.31,-20.854,-42.3,16.497,NA,NA,NA,NA,,,,,151.4,151.4,2.642428488,1
,,FSR,2,,,23,2016,,,13,1,Camera2_072316_13.01_for_60sec,,,1,1,4,8,1397.333,1441,1424,15.974,643.333,707,675.042,23.01,0,0,0,0,100,136,120.5,14.832,39.777,41.437,40.344,0.743,0,41.437,20.172,21.57,NA,NA,NA,NA,39.777,41.437,40.344,0.743,NA,NA,NA,NA,74.578,92.862,81.386,8.22,NA,NA,NA,NA,,,,,154.3,154.3,2.693043036,1
,,FSR,2,,,23,2016,,,13,1,Camera2_072316_13.01_for_60sec,,,2,2,4,8,459,574,525,43.85,522,648,594.5,43.303,0,0,0,0,85,127,103.125,14.827,31.016,54.083,45.653,10.084,0,54.083,22.827,25.28,NA,NA,NA,NA,31.016,54.083,45.653,10.084,NA,NA,NA,NA,-76.827,91.848,-29.093,80.895,NA,NA,NA,NA,,,,,154.3,154.3,2.693043036,1
,,FSR,2,,,23,2016,,,13,1,Camera2_072316_13.01_for_60sec,,,3,3,4,8,1180,1227,1200.375,16.869,177,300,229.125,44.847,0,0,0,0,75,173,118.625,35.282,33.838,40.706,37.416,3.061,0,40.706,18.708,20.1,NA,NA,NA,NA,33.838,40.706,37.416,3.061,NA,NA,NA,NA,-62.176,-39.806,-50.986,9.957,NA,NA,NA,NA,,,,,154.3,154.3,2.693043036,1
,,FSR,2,,,23,2016,,,13,1,Camera2_072316_13.01_for_60sec,,,4,4,4,8,1387,1412,1397.125,8.543,258,312,281.75,18.896,0,0,0,0,113,193,141.625,26.543,23.431,39.051,34.365,7.332,0,39.051,17.182,18.986,NA,NA,NA,NA,23.431,39.051,34.365,7.332,NA,NA,NA,NA,-103.325,-50.194,-73.516,22.853,NA,NA,NA,NA,,,,,154.3,154.3,2.693043036,1
,,FSR,2,,,23,2016,,,13,1,Camera2_072316_13.01_for_60sec,,,5,5,4,8,1157,1225,1192.667,21.259,775.667,849,812.833,20.698,0,0,0,0,84,125,104.75,15.304,20.396,46.686,36.546,12.073,0,46.686,18.273,21.073,NA,NA,NA,NA,20.396,46.686,36.546,12.073,NA,NA,NA,NA,11.31,166.504,95.55,64.4,NA,NA,NA,NA,,,,,154.3,154.3,2.693043036,1
,,FSR,2,,,23,2016,,,13,1,Camera2_072316_13.01_for_60sec,,,6,6,4,8,1082,1162,1116.333,29.761,440.667,518,475.167,24.121,0,0,0,0,76,103,89,11.301,24.477,51.777,33.64,12.526,0,51.777,16.82,19.763,NA,NA,NA,NA,24.477,51.777,33.64,12.526,NA,NA,NA,NA,-119.358,-94.764,-105.188,10.337,NA,NA,NA,NA,,,,,154.3,154.3,2.693043036,1
,,FSR,2,,,23,2016,,,13,6,Camera2_072316_13.06_for_60sec,,,1,1,4,8,1165,1199,1181.625,12.223,721,788,757.5,22.816,0,0,0,0,78,148,103.5,22.596,20.025,47.265,36.16,12.096,0,47.265,18.08,20.887,NA,NA,NA,NA,20.025,47.265,36.16,12.096,NA,NA,NA,NA,83.928,96.633,88.583,5.548,NA,NA,NA,NA,,,,,157.3,157.3,2.745402913,1
,,FSR,2,,,23,2016,,,13,6,Camera2_072316_13.06_for_60sec,,,2,2,4,8,1131,1284,1187.5,56.685,555,623,583.625,24.94,0,0,0,0,66,116,95.875,17.988,31.241,80.156,53.308,25.585,0,80.156,26.654,33.053,NA,NA,NA,NA,31.241,80.156,53.308,25.585,NA,NA,NA,NA,-54.273,-34.695,-42.305,8.383,NA,NA,NA,NA,,,,,157.3,157.3,2.745402913,1
,,FSR,2,,,23,2016,,,13,6,Camera2_072316_13.06_for_60sec,,,3,3,4,8,1362,1394,1374.375,12.035,208,270,235.625,24.107,0,0,0,0,66,145,117.625,24.75,22.361,53.759,42.219,13.761,0,53.759,21.11,24.299,NA,NA,NA,NA,22.361,53.759,42.219,13.761,NA,NA,NA,NA,-100.305,-55.954,-74.282,18.666,NA,NA,NA,NA,,,,,157.3,157.3,2.745402913,1
,,FSR,2,,,23,2016,,,13,6,Camera2_072316_13.06_for_60sec,,,4,4,4,8,517,581,543,23.262,483,595,544.25,36.951,0,0,0,0,83,124,99.143,14.69,36.125,48.754,44.659,5.844,0,48.754,22.329,24.176,NA,NA,NA,NA,36.125,48.754,44.659,5.844,NA,NA,NA,NA,-46.685,-25.514,-35.661,10.117,NA,NA,NA,NA,,,,,157.3,157.3,2.745402913,1
,,FSR,2,,,23,2016,,,13,6,Camera2_072316_13.06_for_60sec,,,5,5,4,8,1447,1465.333,1456.125,7.235,238,429.333,315.583,67.329,0,0,0,0,62,131,94.25,21.212,31,57.974,38.165,13.214,0,57.974,19.083,22.158,NA,NA,NA,NA,31,57.974,38.165,13.214,NA,NA,NA,NA,-100.954,-75.005,-87.799,10.773,NA,NA,NA,NA,,,,,157.3,157.3,2.745402913,1
,,FSR,2,,,23,2016,,,13,11,Camera2_072316_13.11_for_60sec,,,1,1,1,1,765.167,765.167,765.167,NA,630.5,630.5,630.5,NA,0,0,0,NA,87,87,87,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,160.4,160.4,2.79950812,1
,,FSR,2,,,23,2016,,,13,11,Camera2_072316_13.11_for_60sec,,,2,2,8,16,666,1494.667,1080.917,381.805,282.667,813.333,568.083,222.743,0,0,0,0,73,144,106.438,20.073,35.075,89.443,60.684,16.974,0,89.443,30.342,33.414,NA,NA,NA,NA,35.075,89.443,60.684,16.974,NA,NA,NA,NA,-79.695,171.254,25.224,97.638,NA,NA,NA,NA,,,,,160.4,160.4,2.79950812,1
,,FSR,2,,,23,2016,,,13,11,Camera2_072316_13.11_for_60sec,,,3,3,4,8,525.333,574.667,549.833,17.716,721.333,812,775.833,27.744,0,0,0,0,81,114,100.25,11.585,24.037,48.166,34.837,10.017,0,48.166,17.419,19.742,NA,NA,NA,NA,24.037,48.166,34.837,10.017,NA,NA,NA,NA,-46.548,-29.745,-37.904,7.593,NA,NA,NA,NA,,,,,160.4,160.4,2.79950812,1
