"id","easting","northing"
49,291257.244545512,4430251.72194962
49,289622.781662342,4429840.1915991
49,290949.508139008,4429982.51336034
49,291154.388430301,4430314.31090253
49,290846.346087921,4430172.74972472
49,290272.148100606,4430583.50604267
49,291534.128733047,4430337.68315454
49,290890.370109219,4430232.26928999
49,290838.635626369,4430358.75268629
49,292101.200710211,4430275.9054391
49,290351.854965769,4429854.26188725
49,289410.348283861,4429595.98328681
49,290562.33448489,4430303.92577024
49,290382.375141565,4429795.34864595
49,291212.958952074,4430251.43212074
49,291171.860745317,4430060.11322108
49,289952.011712619,4430271.12849604
49,290924.812535088,4430155.87490686
49,291144.912634991,4430471.62375317
49,293520.414033834,4430530.35050917
49,290785.002757189,4429773.04029539
49,290545.710779013,4430176.52286442
49,291774.347144414,4430648.08004588
49,290299.862484826,4429261.88818811
49,292625.860202761,4430233.98446318
49,290521.927999336,4429934.03654137
49,289848.87969777,4429620.48278548
49,289581.555657401,4429833.08223215
49,290277.031738801,4429941.74811737
49,290662.032359015,4430171.58466294
49,289998.834977455,4429683.67532458
49,292306.951575297,4430339.73835316
49,291661.547010807,4430212.83414988
49,291643.997870982,4430195.72260473
49,291246.278754588,4430259.69982685
49,290311.809978596,4429699.25590734
49,291407.05622962,4430219.32778638
49,290383.884427368,4430281.52671845
49,291805.661137299,4430483.27048105
49,289092.869899433,4429359.32092335
49,292256.090077762,4430628.87917952
49,290492.286818429,4430100.27789142
49,290201.003456976,4430009.81072341
49,291428.512801822,4430265.46185428
49,291832.257099688,4430462.69229015
49,291616.306430791,4430563.41939946
49,291297.869019735,4430476.42582276
49,291139.149736818,4430414.47821948
49,290582.505085646,4430516.11229338
49,291239.333531167,4430428.37310262
49,290303.912566786,4430160.55211114
49,291802.503905448,4430456.14654177
49,291239.97524798,4430557.39308448
49,291321.296419665,4430579.59374663
49,291677.088243225,4430517.95401076
49,292342.954460424,4430518.30967249
49,290572.52596474,4430096.15914854
49,291878.48131203,4430548.33975549
49,290647.346062272,4430230.80965998
49,291670.176705779,4430609.06914984
49,291032.181766315,4430448.87904144
49,290606.259814878,4430044.18652924
49,292481.898546692,4430527.27680808
49,289813.575167296,4429264.57448216
49,292161.365311009,4430690.01217438
49,290889.660259655,4430532.19457326
49,290719.415788883,4430487.2036653
49,289583.634334192,4429650.58256419
49,291227.869889971,4430326.80790473
49,289899.783731224,4429902.5929038
49,291241.132179785,4430015.95057344
49,291869.918978486,4430257.63058919
49,291439.366970689,4430294.4433353
49,291803.438456354,4430370.38004797
49,292442.025639073,4430253.27745319
49,292618.305118942,4430359.21842645
49,291076.315973114,4430098.24667629
49,291006.069785855,4429800.21238883
49,290155.208062551,4429749.87816548
49,290082.437777319,4429737.11576156
49,291728.718899411,4430179.48637243
49,291430.696561979,4430104.88390008
49,292072.549944562,4430115.53287331
49,290533.026351087,4429829.19490147
49,291919.884386782,4430375.48778339
49,291582.434076183,4430216.82268263
49,292197.326019656,4430201.69227159
49,291633.809277574,4430378.8654835
49,290562.208072839,4429912.37890484
49,290830.413918395,4429955.83090783
49,289772.435674876,4429991.11753847
49,291253.939933383,4429863.9994639
49,290114.020626488,4429569.66866269
49,291240.485364769,4430216.97855037
49,291241.04475405,4429946.85802151
49,290978.725960772,4429904.20939275
49,289495.121917538,4429115.22741566
49,290105.367572981,4429754.68527764
49,289801.966943938,4429209.08123875
49,290829.368870972,4429824.38221136
49,290962.032818755,4429954.6661872
49,290493.509184666,4430162.43578671
49,291040.562705658,4430274.88495891
49,289989.637405067,4429452.16732606
49,289848.122007273,4429387.85344399
49,291286.959376452,4429964.51846088
49,292001.579750115,4430307.44489323
49,290187.795957515,4429751.4023698
49,290940.716457013,4430093.37454894
49,291653.600865625,4430249.52399157
49,293016.026220352,4430379.13004392
49,291108.348590456,4430221.96524917
49,290481.302923064,4430063.11624743
49,291626.442205357,4430592.18832886
49,291200.031822174,4430098.47243732
49,291209.900297988,4429988.64554432
49,292232.34550778,4430279.12206847
49,289715.439037899,4429916.74957247
49,292752.577525864,4430325.27282446
49,289873.481780701,4429518.74634434
49,291293.635074959,4429999.89178781
49,291150.427475845,4430368.98898718
49,291451.096709511,4430506.10453728
49,290685.264101943,4430304.23845624
49,291842.151543329,4430269.90274739
49,292135.353696832,4430498.59290005
49,291573.93721579,4430175.19120695
49,290428.770433631,4429870.16308862
49,292189.63322727,4430310.05044417
49,290195.174012949,4429731.50171471
49,290475.571858645,4430038.17521492
49,288932.257409563,4429270.53335758
49,291745.119018449,4430548.86787799
49,289916.828741323,4429887.71383541
49,289705.753532376,4429739.3631069
49,290365.419997068,4430320.50681572
49,289325.564877618,4429440.06027921
49,292776.167579137,4430506.63294927
49,291541.990110438,4430505.81527227
49,290821.273360774,4430622.81250127
49,290408.342253924,4430027.47724675
49,290216.462020315,4429825.97064292
49,290120.91299504,4429738.61140022
49,292823.477915382,4430709.46129779
49,290965.247863549,4430440.61345449
49,290849.251128545,4430551.77507785
49,292011.253650386,4430676.56484345
49,290579.114421196,4430219.35132956
49,292866.470348296,4430551.36945802
49,292126.869859793,4430637.5129324
