"id","easting","northing"
379,291964.444460483,4424563.9035923
379,291801.828540548,4424733.57279732
379,291718.102978982,4424789.87003052
379,291623.111164839,4424788.49376608
379,291684.793884921,4424693.70466523
379,291932.765466138,4424771.61815208
379,292389.327608613,4424648.60898573
379,291749.483653177,4424839.32095042
379,291514.034729189,4424887.4771208
379,291337.394274454,4425019.11637578
379,292355.101710622,4424757.48431093
379,292132.261326504,4424965.59821391
379,292122.32423739,4424923.49062663
379,291991.102797232,4424625.06621404
379,292144.535855541,4424882.46929788
379,291624.898578344,4424814.47746115
379,291854.363425933,4424706.83063452
379,292045.489524807,4424662.84539667
379,291674.376760014,4424991.23386656
379,291383.41346388,4424694.86532719
379,291954.201204855,4424863.93389838
379,292081.203654023,4424910.906583
379,291771.088326119,4425077.40338589
379,291941.285405752,4424882.4806244
379,291858.08775068,4424745.57811372
379,291805.547910152,4424991.93855556
379,291756.654864575,4424962.99759958
379,292091.552278391,4424634.85168714
379,292038.256676269,4424745.71282834
379,291667.183523096,4424887.63074926
379,291782.156222231,4424693.60902987
379,291799.301027928,4424727.95186438
379,291655.913205467,4424756.74278285
379,292234.364271342,4424623.78241857
379,292116.874428163,4424517.68834734
379,291806.349858825,4424765.48582592
379,291950.839909186,4424660.58838514
379,291664.177853055,4424733.67492129
379,292055.324035912,4424702.5085909
379,291767.522739262,4424814.78256304
379,292303.502817025,4424772.07859992
379,292264.523598272,4424776.17047939
379,291772.495693145,4424701.28082584
379,291975.458950205,4424668.08174399
379,292064.423048191,4424727.72445491
379,291662.538842065,4424929.53580893
379,292303.612694218,4424842.49042436
379,291931.030100184,4424826.46438452
379,292351.691186244,4424761.01480188
379,291953.756740091,4424858.14467377
379,292007.553735927,4424764.31305461
379,291462.655504476,4424726.66802472
379,292629.013125946,4424796.02087556
379,292566.465657888,4424700.45965569
379,291579.952287819,4424712.53214204
379,291692.599626168,4424712.07952877
379,291840.422772469,4424646.23404401
379,291695.537779226,4424785.47048233
379,292038.005899345,4424791.90689097
379,292485.058674117,4424819.31833555
379,292044.105503735,4424833.50030219
379,291897.893015133,4424876.09449098
379,291842.984589124,4424676.81863089
379,292207.981969954,4424603.21384152
379,291802.267612958,4424752.55512227
379,291329.496025625,4425010.14510225
379,291694.747678776,4424891.0940495
379,292393.392014518,4424789.24162833
379,292126.217427653,4424580.01595578
379,291925.506874574,4424733.50249835
379,292128.332566006,4424498.3579102
379,291509.629933939,4424811.07579194
379,291767.524029459,4424640.49150936
379,292253.401372809,4424569.71000231
379,291928.849211873,4424535.38645573
379,291490.952946126,4424745.82350842
379,292156.434591498,4424786.91692865
379,292494.639616437,4424760.70556163
379,291127.278249319,4425206.63931991
379,292382.720300866,4424691.49365057
379,291955.306257534,4424769.41934203
379,291603.543688196,4424463.81780465
379,291575.682007194,4424757.09392046
379,291895.661980213,4424562.92578737
379,292326.604114894,4424502.04152547
379,291852.425176489,4424532.22199142
379,291650.665936321,4424582.40458891
379,291711.910936268,4424625.83642753
379,292584.384073856,4424738.16773547
379,292007.687535362,4424593.98419237
379,292330.168192433,4424538.6053323
