"easting","northing"
290277.168638902,4426570.61361792
290383.308497743,4426540.59942223
289950.249680854,4426690.50512001
290105.154776492,4426341.26987516
290221.062221863,4425979.97897337
290265.776217869,4426796.02209021
289987.881403348,4426542.69779411
289886.602148492,4425981.09140474
290284.306056574,4426368.33341248
290131.420720608,4427350.44369409
290093.898226433,4426540.37519368
290251.568143242,4426202.07709373
290178.213749648,4426599.1631829
290234.985135357,4426541.78341317
290159.589118029,4426819.80588655
289841.679096006,4426403.37195261
290142.117684398,4426855.47531764
290162.703148191,4425765.85382147
290298.577335365,4426942.45087249
290261.090082899,4425758.7179166
290155.218231036,4426115.7882434
290050.398762492,4426297.74251217
290376.929997044,4427178.76370707
290262.637597982,4426815.0189969
290134.479218193,4427007.38864633
290208.642133247,4426246.35517024
289975.146201451,4425948.38185808
290098.043522119,4426498.26184146
290013.643312218,4426338.98612219
290361.530494471,4426481.92974913
290107.293276353,4426338.07391666
290371.403484567,4426750.67079545
289811.549689505,4426053.54924007
289969.204974923,4426194.85905522
290372.268162381,4426260.04829215
290391.807785761,4427105.49836984
290127.469375371,4425846.55726522
290051.914993611,4426626.70137446
290376.934148151,4426602.93547231
290051.685699941,4426133.14830948
290249.991581729,4426629.91633678
290068.712196207,4426752.65422175
290434.274091155,4426990.35589779
290025.961812103,4426594.73821259
290404.944658808,4426237.23723114
290329.159199949,4427216.35736924
290249.931151558,4426520.83765114
290144.214664228,4426343.44018716
290072.114855069,4426799.04977828
290251.060648265,4426392.3177515
290249.307700293,4426391.59643179
289957.444319898,4426171.35793585
290123.847807757,4426620.29934115
290218.795372625,4426458.56929849
290251.508393418,4426828.08060101
290224.732502106,4426538.02596811
290204.316394706,4425868.57707307
290061.82048921,4426542.1882719
290316.684865942,4425771.55846911
290257.167585429,4426436.69175659
290400.54242094,4426680.12177902
289896.768927246,4426408.27577925
290016.489267353,4425982.89342698
289865.789065695,4426183.63081463
289877.154697968,4425940.48718325
290474.702381453,4427524.85159802
290588.654761872,4427228.42106361
290213.211794672,4426972.32918263
290191.73370795,4426459.71675785
290081.928472627,4426670.19122268
290388.691040822,4426277.81795894
290103.780730218,4426234.03816484
290183.971813262,4426465.82542699
290108.099765956,4426025.22341384
290110.53674225,4426139.16800405
290491.993112019,4427014.71376193
289869.945214762,4426139.12690553
290255.829106316,4426321.26987733
290334.856173255,4426646.92440619
290117.781643103,4426494.79599253
290360.772734727,4426436.42856548
290304.112935377,4426722.2624812
290278.048059977,4426691.39172369
290063.529493108,4426244.60524353
290198.120385653,4426194.1162108
290069.358408726,4426522.80814076
290090.182495274,4426604.37950157
290366.057352025,4426667.34609907
290477.397975914,4426325.16336634
290375.344695177,4426006.4192278
290403.992542188,4426832.12392872
290275.894799016,4426983.34546793
290205.148616543,4426698.44910983
290445.191236096,4426407.82287314
290024.83110316,4426560.90973409
