"id","easting","northing"
38,291604.92190368,4425692.32926013
38,291673.810585773,4425799.88540381
38,291605.514271751,4426011.25947552
38,291466.311718791,4425927.23336654
38,291843.568701968,4425930.73549507
38,291767.368037897,4425805.83760271
38,291706.049847036,4425914.29792473
38,291951.116352214,4425656.90581054
38,291716.421824126,4425403.27395516
38,291771.309887149,4425485.03414021
38,291768.219095835,4425808.53667562
38,291455.639235556,4425695.40690999
38,291761.773961119,4425891.0332713
38,291745.414142034,4425536.55043772
38,291523.165365315,4425854.02118693
38,291488.220984363,4425882.84133411
38,291631.880991183,4425908.38299316
38,291603.245348768,4425959.37983537
38,291595.38614837,4425811.88629257
38,291593.76587504,4425757.96908028
38,291979.161412706,4425960.50401376
38,291933.87564668,4425903.06253223
38,291584.405075263,4425649.53952353
38,291791.56236868,4425930.71077672
38,291618.271010042,4425844.0409429
38,291662.961974313,4425749.84803391
38,291809.735752847,4425755.31864286
38,291741.891562196,4425869.05468282
38,291512.321258655,4425641.02024011
38,291650.184190954,4425903.85151511
38,291798.207622162,4425693.2407198
38,291937.328980924,4425623.56897658
38,291505.482962365,4425959.56479121
38,291748.490475222,4425686.97526635
38,291546.264350708,4425586.38084627
38,291829.328386536,4425893.48850827
38,291589.79316235,4425915.16835186
38,291835.138317491,4425906.2031644
38,291683.137327743,4425897.65969722
38,291792.184208791,4425818.77456029
38,291636.606322133,4425897.66972207
38,291673.970892505,4425932.80722071
38,291544.861506169,4425799.6782272
38,291679.2680897,4425857.67426757
38,291589.598291763,4425561.71254821
38,291493.716052282,4426038.3876965
38,291834.857301897,4425729.92788163
38,291454.940021637,4425720.66436001
38,291757.475366874,4425577.87967794
38,291774.983396613,4425896.92322893
38,291575.020132968,4425806.78308595
38,291506.955759745,4426026.22462873
38,291422.558215664,4425955.13176523
38,291848.745183685,4425745.6406108
38,292119.963709355,4426139.22884722
38,291780.676210326,4425804.85732245
38,291899.698709186,4425596.96707372
38,291610.406476771,4425550.86955208
38,291675.992637042,4425886.89899131
38,291837.512681047,4425847.10583062
38,291656.157115623,4425921.53048289
38,291777.668659072,4425547.36501938
38,291825.45181061,4426099.94480826
38,291665.281928631,4425740.59720902
38,291835.397180289,4425840.04431577
38,291766.250324987,4425891.43045063
38,291580.905031032,4425621.97828428
38,291488.947127375,4425778.22808298
38,291747.243769235,4425751.98612341
38,291529.418828509,4425820.39334636
38,291518.992022378,4425824.89612361
38,291698.011255659,4425730.16655784
38,291614.485630347,4425592.91517894
38,291657.745231553,4425796.26823199
38,291539.201958312,4425937.99258095
38,291574.591618043,4425818.91297957
38,291714.611972805,4425537.83871474
38,291377.069727912,4425737.65661691
38,291994.656253843,4425711.39379015
38,291379.189651219,4425713.54669978
38,291846.9934638,4425519.18637506
38,291651.639808821,4425911.90909974
38,291574.870953375,4426034.62240661
38,291802.328334294,4425756.02520662
38,291567.496631116,4425918.50282981
38,291885.773700765,4425874.85156807
38,291918.249325809,4425921.93315766
38,291711.384403517,4425893.30089433
38,291563.355672485,4425927.17659116
38,291637.762715169,4425991.27305717
38,291572.502124024,4425798.85009894
38,291632.897111412,4425927.26171876
38,291755.105551198,4425654.55496065
38,291512.358904953,4425703.66015803
38,291639.398832279,4425643.43971173
38,291675.482012786,4425540.08950004
38,291671.210348312,4425713.53509116
38,291780.338117809,4425549.62785104
38,291612.770892422,4425857.32585384
38,291721.40280317,4425942.47470277
38,291874.882334934,4425678.86525919
38,291611.868525857,4425897.16295645
38,291859.939076466,4426037.82183013
38,291811.620323902,4425639.37036865
38,291503.537120496,4425733.43244186
38,291635.097907609,4425752.82580046
38,291555.270331811,4425878.74574657
38,291750.957532523,4425754.30190209
38,291672.695945872,4425690.118529
38,291670.130034507,4426110.08127907
38,291714.837989306,4425725.51318827
38,291780.709685652,4425722.80592439
38,291685.801897934,4425832.87058067
38,291569.695610616,4425845.64637661
38,291604.365408437,4426149.52689029
38,291690.85614977,4425955.69798367
38,291855.220084049,4425779.14522767
38,291873.344672712,4425706.49782652
38,291432.819041502,4425661.0408916
38,291774.426486765,4425814.05991765
38,291574.463386952,4425845.12128628
38,291786.234856935,4425921.59354286
38,291609.002644401,4425874.76081722
38,291698.581489184,4425996.59973306
38,291888.72702633,4425906.51818595
38,291667.546261473,4425682.0335226
38,291762.838711512,4425771.12654847
38,291696.663044528,4425802.69364012
38,291866.112748783,4425710.13282346
38,291636.148911264,4425931.02507381
