"id","easting","northing"
33,292488.607872233,4426624.63773402
33,292627.351774899,4426785.12011997
33,292364.005620415,4427082.17058464
33,292518.003523979,4426627.74387212
33,292486.535709098,4426733.97082616
33,292355.319449248,4426863.72906505
33,292421.956076166,4426561.0510967
33,292503.646456757,4426545.51567751
33,292300.835365045,4426536.06132459
33,292615.085543164,4426710.11178574
33,292475.982982111,4426836.62205465
33,292551.667751361,4426706.85345529
33,292531.23225509,4426924.44190397
33,292606.444911199,4426714.94325987
33,292519.118780621,4426619.73194239
33,292436.221858724,4426666.23166444
33,292389.270617431,4426654.30797619
33,292599.602167472,4426618.27825011
33,292451.920412844,4426819.03085017
33,292434.17555988,4426650.10892878
33,292560.290195003,4426584.32118163
33,292416.543749938,4426656.52463314
33,292501.261019492,4426700.52106719
33,292536.953170714,4426701.78030227
33,292375.39487886,4426639.27280432
33,292581.175367502,4426775.34980818
33,292510.650023762,4426558.40074664
33,292587.629978478,4426641.53969887
33,292482.510716354,4426701.72861458
33,292548.818519056,4426722.86871779
33,292436.419842718,4426555.61917352
33,292375.803034331,4426461.08472076
33,292435.081959988,4426583.03508066
33,292402.37517306,4426776.80358451
33,292352.075953405,4426800.6940527
33,292336.043336232,4426387.34629379
33,292377.954603039,4426655.86239132
33,292449.220646606,4426559.27356108
33,292420.194592493,4426590.05992534
33,292645.939877062,4427007.69997714
33,292385.726214284,4426722.84761659
33,292533.117884028,4426661.54858864
33,292282.03935358,4426399.79684142
33,292415.439370977,4426700.09651812
33,292418.376140334,4426771.50724141
33,292481.169122987,4426779.33565384
33,292370.009288516,4426805.56988494
33,292494.308145511,4426556.18722996
33,292400.165996769,4426649.92480134
33,292501.202230572,4426608.38385428
33,292334.675942034,4426539.27868754
33,292519.719449283,4426676.54819254
33,292459.159147215,4426541.16974725
33,292325.746617563,4426646.55989246
33,292356.964738205,4426751.9289996
33,292532.285326239,4426688.13305386
33,292466.372610451,4426906.61082611
33,292382.683998302,4426751.64492634
33,292851.48822915,4426757.02241986
33,292607.060931012,4426704.8565848
33,292699.881342292,4426761.90189255
33,292351.40242335,4426634.4655367
33,292360.095183743,4426598.54166317
33,292404.79251625,4426776.00404535
33,292550.037736425,4426678.64698813
33,292279.527214193,4426350.81716527
33,292379.999697771,4426707.14856571
33,292363.298786915,4426528.51478288
33,292613.077132642,4426753.78220798
33,292445.916699796,4426600.75260286
33,292456.722464885,4426801.35523637
33,292485.883275459,4426747.98807382
33,292477.884825459,4426853.18528687
33,292526.193504633,4426770.71715025
33,292320.200179682,4426744.14646111
33,292592.882719954,4426806.47554793
33,292351.316028493,4426791.14770635
33,292481.716995447,4426858.30357846
33,292409.244163233,4426678.74103786
33,292679.132249431,4426736.17796304
33,292630.714458342,4426582.01659769
33,292493.858819819,4426808.58792641
33,292486.901296529,4426579.74565268
33,292446.694651244,4426741.72318367
33,292448.057508877,4426478.51719263
33,292419.403463932,4426689.6102363
33,292387.36434765,4426842.23236713
33,292525.277543529,4426627.14160706
33,292607.07253677,4426860.71070552
33,292459.227628458,4426611.72959818
33,292407.291218394,4426723.87163913
33,292671.313020215,4426639.52741853
33,292512.549989815,4426754.55472766
33,292629.254541162,4426756.65142119
33,292398.244150113,4426849.47522589
33,292521.172091387,4426603.92438291
33,292528.658255632,4426644.00170951
33,292381.442407571,4426863.31805035
33,292330.499525621,4426474.73491043
33,292388.908987194,4426511.31165323
33,292409.014424714,4426546.59512309
33,292406.876369284,4426629.93071481
33,292608.152494478,4426701.74863164
33,292571.701510585,4426985.49779797
33,292383.661822016,4426735.1538852
33,292392.646983414,4426579.70117879
33,292476.747319617,4426707.14105691
33,292410.14493888,4426815.98527303
33,292578.384647266,4426823.39644693
33,292470.828998532,4426699.35940522
33,292299.650793393,4426325.2730784
33,292366.54376482,4426576.05477526
33,292497.520364455,4426730.74587968
33,292371.557717176,4426568.41200277
33,292486.34519967,4426599.24080186
33,292555.765319619,4426768.87494967
33,292611.74334249,4426710.98380688
33,292624.562479241,4426581.55777353
33,292396.177808756,4426703.70287967
33,292403.238731692,4426553.04602588
33,292504.241062763,4426629.08736521
33,292417.05987994,4426485.66694743
33,292426.699427755,4426603.43196033
33,292528.029426257,4426768.24156449
33,292507.034860914,4426757.29615683
33,292374.762595137,4426752.72552643
33,292581.679037291,4426751.40907181
33,292380.21852192,4426522.91311241
33,292309.865630855,4426601.49576323
33,292441.694838353,4426552.48632538
33,292492.970764047,4426571.02079954
33,292499.055480327,4426703.84150702
33,292668.410823974,4426888.43547236
33,292572.533035929,4426823.08673409
33,292406.077329475,4426997.511233
33,292528.857387577,4426688.08639383
33,292292.965030082,4426686.1342779
33,292622.807214535,4426513.63989879
33,292376.176406091,4426497.47466596
33,292514.687059766,4426605.33194574
33,292381.21894056,4426712.49711764
33,292483.467166718,4426634.06393937
33,292545.743527785,4426826.48344234
