"id","easting","northing"
240,292587.102387757,4428918.85162045
240,292987.472240374,4428878.36739287
240,292009.103165121,4428850.65671055
240,292725.377050419,4429071.6435811
240,292906.137670622,4429126.66006776
240,292025.454535275,4428867.04226219
240,293340.640175464,4428623.46554802
240,292604.933858032,4428885.97339854
240,291925.75531744,4428876.61778928
240,292480.241218346,4428778.35200894
240,293190.149704514,4428691.31078416
240,291253.2008543,4428588.21417449
240,291848.410648297,4428815.79448245
240,291421.716406636,4428551.89119413
240,292909.990430754,4428554.70274782
240,292757.905665349,4428485.31976175
240,292460.978419589,4428660.70282278
240,292894.537333045,4428686.34067426
240,292202.223578318,4428708.05558795
240,291920.327030815,4428793.31481649
240,292449.608418931,4428785.83621529
240,293363.835210253,4428654.24608946
240,291542.575656962,4428717.25733578
240,291511.536843097,4428685.14090073
240,292623.83343601,4428690.13261337
240,292153.433901502,4428801.59490596
240,292628.384356652,4428753.25611922
240,292369.13433709,4428897.71682798
240,292269.615711182,4428778.55979007
240,292045.055922669,4428746.61875529
240,291484.892289617,4428551.16913358
240,293141.298192624,4428449.0450926
240,292735.07445454,4428693.17222817
240,291687.08299403,4428899.82211404
240,291777.885746416,4428962.64776516
240,292227.907921531,4428965.30905413
240,292027.10585838,4428971.59993319
240,291764.760089883,4428963.64103101
240,292190.277158423,4428801.13355591
240,292396.145990277,4429062.13561506
240,292256.782114968,4428864.15550863
240,293206.049153137,4428591.20809951
240,293119.776748542,4428949.6703503
240,292055.041391899,4429008.66113325
240,292153.037666965,4429233.19914984
240,291935.256400956,4428741.6672066
240,293015.041547878,4429013.15636369
240,291963.432781925,4428836.07288357
240,292367.473858609,4428847.89556377
240,292215.496170776,4429010.05376614
240,291942.734116732,4428858.0263215
240,292781.530623487,4428799.31376445
240,292268.593576511,4428876.14985248
240,292405.430057598,4429040.99945658
240,291414.801541458,4428719.64019117
240,291952.171987742,4428761.44727376
240,293011.350584606,4428538.9768658
240,292180.990909886,4428836.2287994
240,292300.567346459,4428736.78053408
240,292921.264226533,4428704.2752717
240,291823.506371673,4428684.34091532
240,292301.751332104,4428660.16791303
240,291493.844383468,4428589.72111894
240,291617.559669134,4428744.00777885
240,293301.631182693,4428682.91255884
240,292065.968562382,4428811.90508695
240,293068.252768177,4428740.68896426
240,292000.896559447,4428332.99180829
240,292712.743634311,4428355.32765523
240,292095.172372375,4428725.4601575
240,293165.81170131,4428478.30009746
240,292208.811442149,4428724.81735333
240,292696.852244492,4428694.46330043
240,291906.777249131,4428716.31263545
240,292225.280127443,4428783.87868717
240,291455.404742198,4428639.46704453
240,291528.885141137,4428762.98781101
240,292104.064992872,4428732.60931064
240,292005.974238413,4428907.34356411
240,292155.962438835,4428612.50144845
240,292263.784178423,4428993.23391428
240,292251.585851393,4428953.8039431
240,292525.848904652,4428949.10028274
240,291673.905394779,4428812.7808258
240,291427.755751104,4428621.74626476
240,291862.992908618,4428669.96783565
240,291625.141463577,4428501.24056504
240,292060.943719448,4428425.25716741
240,292166.288338625,4428572.13654605
240,291999.798239563,4428723.25180399
240,292536.669571066,4428820.50008495
240,292511.175042177,4429018.09371027
240,291266.705863359,4429101.74687031
240,293294.500898686,4428759.80254746
240,291698.250562291,4428916.39093647
240,291678.306539715,4429141.05265082
240,291886.520510725,4428839.73853057
240,293084.449290226,4428707.78694344
240,292200.563248505,4428993.66350651
240,292329.608747193,4429096.602925
240,292708.46504732,4428857.117075
240,292532.594731598,4428980.0668668
240,293006.592723532,4428696.8835647
240,292889.308762202,4428771.59023249
240,293354.738282304,4428447.44373526
240,292873.237873966,4428941.71242197
240,293257.817951081,4428871.98242875
240,291906.275690827,4428874.56065473
240,292286.775518605,4428543.29713876
240,292756.011218731,4428522.58805046
240,292444.229796149,4428800.84780187
240,292144.674449886,4429174.70498599
240,292309.953911235,4428774.64675213
240,292073.010658396,4428942.48300722
240,291640.51218576,4428570.23743105
240,292514.371455112,4428899.52780773
240,291790.210771255,4428732.95136169
240,291190.275554819,4428539.70344052
240,292018.250495659,4429119.33451272
240,291880.67229964,4428833.1597997
240,292015.277851546,4428715.01401056
240,292141.123053821,4429148.77731313
240,291807.916563784,4429187.9554577
240,293392.299207213,4428565.74438548
240,292434.578932197,4428683.4945258
240,293496.353241121,4428571.1450889
240,292741.954333312,4428778.56870591
240,292014.106962996,4428829.33205152
240,292296.119612294,4428776.02285111
240,292737.090172676,4428758.94763974
240,292577.165322778,4428685.03772363
240,291825.766731851,4428850.73540046
240,292441.622107239,4428971.5058486
240,292778.192199719,4428789.60231484
240,292326.128244499,4428791.58088918
