City (for azimuth),hive,lat,lon,month,day,year,hour,min,hour,minute,segment,dance found?,segment start time,color,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading.radians,flag
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,20,,,C5_062818_14.20_for_60sec,yes,14.2,,yes,2,2,3,6,721.333,782.667,741.778,24.552,768,818.667,788.444,18.295,0,0,0,0,40,59,48.667,6.088,33.012,64.111,46.603,15.915,0,64.111,23.302,27.439,NA,NA,NA,NA,33.012,64.111,46.603,15.915,NA,NA,NA,NA,16.928,46.637,34.075,15.376,NA,NA,NA,NA,,106.928,136.637,124.075,,,124.075,2.165517269,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,23,,,C6_062818_14.23_for_60sec,yes,14.23,grey brown,yes C6,1,1,5,10,328,442,384.8,35.026,708,792,749.6,29.33,1.368,1.735,1.582,0.147,29,55,42.2,9.367,67.231,78.816,72.806,4.489,0,78.816,36.403,38.489,NA,NA,NA,NA,67.231,78.816,72.806,4.489,42.923,51.729,46.242,3.683,30.379,54.293,43.163,10.341,NA,NA,NA,NA,,120.379,144.293,133.163,,,133.163,2.324132792,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,27,,,C7_062818_14.27_for_60sec,yes,14.27,yellow,yes C7,1,1,12,24,330,413.333,384.028,23.972,570.667,714,632.806,31.643,1.101,1.802,1.429,0.214,33,80,48.292,9.666,27.358,69.793,49.09,11.791,0,69.793,24.545,26.365,NA,NA,NA,NA,27.358,69.793,49.09,11.791,24.846,41.834,34.098,5.053,32.619,65.854,48.069,9.986,NA,NA,NA,NA,,122.619,155.854,138.069,,,138.069,2.409758645,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,27,,,C7_062818_14.27_for_60sec,yes,14.27,,no,2,2,5,10,454.667,556,518.4,32.822,697.333,812,762.533,41.074,1.268,1.935,1.608,0.271,30,54,41,7.165,30.667,55.201,47.155,10.308,0,55.201,23.578,25.786,NA,NA,NA,NA,30.667,55.201,47.155,10.308,21.883,43.536,29.832,8.306,0,52.853,27.889,19.331,NA,NA,NA,NA,,90,142.853,117.889,,,117.889,2.057551202,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,27,,,C7_062818_14.27_for_60sec,yes,14.27,,yes,3,3,4,8,702.667,845,777.167,59.519,484,587,537.292,32.316,1.368,2.035,1.702,0.278,27,59,40.875,9.372,38.471,66.212,53.474,12.505,0,66.212,26.737,29.733,NA,NA,NA,NA,38.471,66.212,53.474,12.505,21.754,37.249,31.713,6.916,60.489,64.983,62.399,1.876,NA,NA,NA,NA,,150.489,154.983,152.399,,,152.399,2.659864327,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,30,,,C8_062818_14.30_for_60sec,yes,14.3,yellow,yes C8,1,1,6,12,652.667,744.667,690.667,29.004,678.667,802.667,743.333,33.1,0.901,2.135,1.746,0.432,38,172,58.333,36.527,38.181,65.02,55.462,11.033,0,65.02,27.731,29.904,NA,NA,NA,NA,38.181,65.02,55.462,11.033,26.325,42.381,32.713,5.814,15.461,65.225,43.177,16.876,NA,NA,NA,NA,,105.461,155.225,133.177,,,133.177,2.324377138,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,30,,,C8_062818_14.30_for_60sec,yes,14.3,,yes,2,2,7,14,632.667,752.667,678.762,33.038,798.667,896,841.905,29.569,1.134,1.735,1.44,0.255,27,55,40.071,8.74,37.571,55.313,49.496,5.86,0,55.313,24.748,25.989,NA,NA,NA,NA,37.571,55.313,49.496,5.86,29.262,45.897,34.959,5.401,-11.31,50.194,21.718,21.681,NA,NA,NA,NA,,78.69,140.194,111.718,,,111.718,1.949846934,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,30,,,C8_062818_14.30_for_60sec,yes,14.3,,yes,3,3,4,8,771.333,874,824.167,37.087,773.333,842.667,806.5,20.772,1.268,1.702,1.476,0.224,23,55,40.125,11.218,38.482,53.946,47.827,6.594,0,53.946,23.913,25.926,NA,NA,NA,NA,38.482,53.946,47.827,6.594,29.942,38.365,32.59,3.923,14.036,50.013,31.88,14.816,NA,NA,NA,NA,,104.036,140.013,121.88,,,121.88,2.127207292,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,30,,,C8_062818_14.30_for_60sec,yes,14.3,,yes,4,4,4,8,580,720,633.167,48.831,364,421.333,393.833,18.099,0.601,1.001,0.826,0.171,45,91,62.375,15.023,34.59,56.647,43.106,10.246,0,56.647,21.553,23.998,NA,NA,NA,NA,34.59,56.647,43.106,10.246,43.194,62.878,52.752,9.915,26.565,40.236,30.23,6.687,NA,NA,NA,NA,,116.565,130.236,120.23,,,120.23,2.09840936,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,40,,,C9_062818_14.40_for_60sec,yes,14.4,tan,yes C9,1,1,5,10,824,888,857.133,24.152,638,722,693.333,25.485,1.201,1.635,1.388,0.176,41,59,52.4,6.433,40.901,60.868,50.273,7.749,0,60.868,25.136,26.995,NA,NA,NA,NA,40.901,60.868,50.273,7.749,28.507,40.24,36.356,4.534,19.026,40.101,31.158,8.013,NA,NA,NA,NA,,109.026,130.101,121.158,,,121.158,2.114606015,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,40,,,C9_062818_14.40_for_60sec,yes,14.4,,yes,2,2,9,18,302.667,416,358.667,35.113,659.333,775.333,713.481,34.727,1.134,1.535,1.379,0.129,26,132,55.278,23.242,42.937,66.426,54.468,7.237,0,66.426,27.234,28.46,NA,NA,NA,NA,42.937,66.426,54.468,7.237,32.17,44.054,39.504,3.667,13.392,47.203,29.381,12.179,NA,NA,NA,NA,,103.392,137.203,119.381,,,119.381,2.083591514,
