"easting","northing"
292326.039357414,4426220.26751101
292394.127732937,4426150.25858026
292507.592566142,4426107.19291534
292336.687139236,4426223.70743631
292592.693927042,4426109.21981203
292392.085755386,4426141.62305144
292356.685067824,4426172.0033288
292413.522095297,4426165.56198034
292388.1017121,4426194.06636463
292409.776592391,4426149.6008177
292547.684112277,4426096.72061401
292682.435970249,4426122.80003401
292419.710051232,4426032.59450252
292585.886306305,4425879.31621153
292637.410514553,4426054.25426489
292297.575976451,4426240.16313802
292299.139885914,4426192.33875171
292650.254915261,4426020.43461802
292495.707393658,4425995.90243131
292462.466257894,4426169.2633181
292195.750501606,4426312.80840235
292315.951366169,4426210.52557413
292555.465875482,4425953.92800346
292257.00698329,4426278.61951442
292445.082963632,4426140.26325112
292249.824864869,4426286.54753321
292432.96385193,4426163.9629228
292462.712363902,4426080.18847426
292323.511479598,4426218.76147704
292155.1282391,4426408.96727809
292669.205184997,4425941.99332091
292550.574568509,4426095.89653659
292475.415943322,4426024.29857832
292454.42081737,4426140.91475009
292246.923247853,4426295.55568716
292478.563049007,4426126.55346652
292506.693872296,4426114.43840231
292422.380718026,4426093.61413676
292302.3257983,4426251.13133242
292458.033540047,4426114.97266196
292514.329635038,4426009.91649152
292507.038978936,4426053.81051349
292409.070922694,4426090.56123057
292421.985059033,4426037.11405021
292428.026534078,4426073.27136801
292252.181949171,4426280.59817844
292447.226965436,4426164.8087249
292277.400809665,4426251.73883212
292367.019073359,4426206.62251094
292420.375313186,4426061.3388258
292242.98699253,4426329.48059322
292350.321265366,4426186.47736944
292377.203551434,4426177.86952764
292442.096210962,4426054.85402556
292439.885396011,4426074.52165401
292570.906734977,4425903.74093647
292293.119030997,4426250.16888065
292529.517293457,4425964.92390558
292200.864253694,4426321.96471773
292330.958782352,4426227.55709552
292390.837169077,4426174.90794696
292610.553785659,4426062.58203388
292513.25009004,4426095.48367896
292459.558596931,4426025.79564463
292421.679161673,4426175.57537179
292411.684994379,4426134.23673245
292400.33417519,4426183.37998593
292301.834523153,4426235.17329887
292242.901754018,4426303.99229641
292245.113983773,4426283.81059708
292571.454316406,4425946.32866737
292370.965681813,4426062.41832097
292271.629661498,4426259.11227597
292185.93922388,4426314.40178308
292728.357251805,4426125.53586556
292449.514717237,4426144.01595118
292437.746059736,4426121.67161962
292384.684681428,4426168.69438359
292385.916354596,4426000.33009689
292457.532022368,4426027.48665904
292361.584930822,4426189.81326766
292282.839843206,4426243.80694545
292400.156126703,4426173.66950852
292651.764255343,4426094.68085463
292491.024582316,4426134.44825897
292250.330483471,4426285.11764793
292230.052182103,4426301.67838067
292537.407756856,4426070.00217097
292632.251432174,4425990.79470519
292606.025332844,4426045.30807872
292354.902773034,4426099.3142624
292394.73030652,4426151.39143272
292551.771374098,4426062.48032651
292494.186799879,4426155.39850479
292614.161882528,4425929.5500434
292564.695078384,4426078.04206521
292297.322650276,4426214.91822851
292723.351095036,4426074.48822638
292351.560379953,4426229.30676521
292556.520504701,4426033.99084183
292541.312099902,4425989.42631717
292408.303684967,4426165.96532596
292339.161451327,4426194.02165231
292476.03535924,4426086.67616823
292429.282425603,4426123.59144745
292554.264236016,4426133.15577718
292531.632875219,4426133.69801549
292524.500580591,4426081.09417022
292493.036961738,4426155.72644133
292396.294410424,4425981.87880068
292396.647780655,4426263.43879213
292528.018602932,4426117.64680276
292475.922118861,4426051.90047646
292553.196441309,4426036.85492261
292490.844008992,4426131.51185317
292301.104674721,4426240.74440965
292400.117351853,4426073.310565
292243.435948898,4426285.58668573
292389.150287359,4426145.19413655
292401.363900434,4426145.46189856
292385.376269135,4426172.91324602
292319.389408129,4426201.72948224
292289.917931258,4426224.74015373
292464.567475248,4426134.60352462
292494.38348272,4426111.86633245
292251.70324062,4426286.23204346
292245.060312259,4426294.07776538
292262.765682244,4426272.36340298
292412.2852848,4426080.59710826
292727.596079052,4426102.61786454
292361.966880881,4426134.33292324
292250.225262287,4426299.44874369
292295.746580893,4426241.17682354
292244.915762444,4426292.62995186
292195.346476027,4426346.87663437
292397.715448981,4426169.24425321
292383.708033356,4426196.33499872
292229.23940705,4426289.80326333
292271.511579283,4426267.90689366
292263.563037264,4426271.38232803
292248.739014673,4426286.17910539
292468.882998713,4426110.55802406
292426.930020604,4426175.47849218
292511.760589058,4426081.96726639
292428.234146348,4426200.90572041
292301.306923695,4426235.46774411
292403.297698224,4426095.06636041
292239.542512517,4426291.16337316
292259.412722089,4426275.55430152
292445.869089792,4426106.32033284
292493.013228184,4426061.22495892
292501.056039223,4426189.80476668
292325.092110853,4426186.31177906
292529.654116323,4426037.33696475
292370.857307628,4426238.1809417
292420.756202001,4426138.40899886
292693.569612317,4426168.37866502
292439.593202398,4426085.94893017
292579.176601778,4426006.84232387
292419.136317632,4425952.82407639
292410.63422965,4426011.89227291
292427.264789972,4426100.69305986
292266.109471215,4426269.11359278
292471.2839808,4426073.09724499
292498.160431445,4425985.94984085
292504.088672929,4426096.87302775
292599.381779097,4425927.8394274
292593.368604272,4425968.5711335
292567.295718899,4426064.71637846
292405.931996724,4426153.5156023
292613.661849065,4425931.15308027
292289.67935983,4426258.25565799
292451.737363249,4426004.69888714
292421.638033751,4426176.94059796
292405.066830898,4426197.87852283
292356.827245175,4426134.97435669
292446.718413875,4426042.42580219
292491.467548864,4426113.70193878
292388.947991587,4426165.11834867
292583.571176067,4426106.53308883
292335.562863648,4426202.5258172
292577.827584448,4426233.65518861
292479.18826518,4425757.27492178
292429.5276342,4426149.72688997
292424.839366618,4426061.85226326
292511.64929788,4426060.66901128
292571.367035252,4425907.87750589
292373.357541847,4426159.02642864
292554.382936507,4425932.84276316
292816.489423871,4425924.90241669
292353.186112871,4426201.63160217
292502.460812106,4426074.85212512
292482.209161307,4426185.1144422
292070.074290437,4426388.63183618
292423.056572869,4426065.79017364
292512.080663729,4426105.05236333
292473.796576952,4426061.91818857
292425.728606071,4426080.66722689
292464.666038342,4426030.70164575
292445.438575454,4426187.2965621
292363.490298978,4426087.35206927
292658.601210397,4426085.88253705
292370.123958809,4426169.76008992
292380.316838155,4426156.37149798
292448.50924794,4426060.91715552
292293.357334078,4426208.08488991
292505.584114117,4426026.26574966
292400.762247783,4426134.61301658
292344.157027351,4426182.20946806
292327.526441253,4426171.01529643
292473.580210903,4426010.87127228
